\# boa_stats: type,map,start_q,n,boa_exp_sum,boa_gen_sum,boa_sol_sum,setup_time_sum
# bcp_stats: type,map,start_q,ord_i,zone_i,piv_i,exp_sum,gen_sum,prune_sum,time_sum,bbar1_sum,bbar2_sum,solved,timed_out,n,error_sum,error_n
boa_stats,NY,0,4,677952,958829,310,309.7750
bcp_stats,NY,0,6,2,3,10152,16330,18053,1.562000,3.67203161,3.10654457,4,0,4,0.0231568741,4
bcp_stats,NY,0,6,2,4,9922,16015,17540,1.393000,4.00000000,3.00000000,4,0,4,0.0000000000,4
bcp_stats,NY,0,6,3,0,11146,18011,19830,1.548000,4.00000000,4.00000000,4,0,4,0.0000000000,4
boa_stats,NY,5,5,2798233,4068697,836,821.6270
bcp_stats,NY,5,0,0,0,2465,5026,2778,0.384000,1.25000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,0,1,241283,416521,462162,35.829000,1.52982460,3.63372210,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,0,2,1247174,1840060,2862390,233.127000,2.34502897,2.43279462,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,0,3,849181,1184898,1929246,130.289000,3.65042464,1.58882753,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,0,4,799175,1113880,1818602,117.547000,5.00000000,1.25000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,1,0,2465,5098,2706,0.226000,2.50000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,1,1,57955,107200,92012,6.490000,2.68654974,4.08914807,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,1,2,293369,495441,588078,46.787000,3.23001931,3.28852975,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,1,3,764290,1186087,1692330,136.199000,4.10028309,2.72588502,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,1,4,873985,1332982,1936998,154.034000,5.00000000,2.50000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,2,0,2465,5104,2700,0.227000,3.75000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,2,1,34098,65482,48799,3.572000,3.84327487,4.54457403,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,2,2,49531,91938,78155,5.590000,4.11500966,4.14426487,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,2,3,135892,240548,242329,18.383000,4.55014155,3.86294251,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,2,4,150318,264421,269362,19.331000,5.00000000,3.75000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,0,3,0,2465,5107,2697,0.209000,5.00000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,0,0,817793,1093460,1861963,127.230000,1.25000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,0,1,325470,461871,701699,45.541000,1.52982460,3.63372210,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,0,2,101120,157724,188614,12.548000,2.34502897,2.43279462,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,0,3,18134,31415,28073,2.006000,3.65042464,1.58882753,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,0,4,2120,4160,2279,0.227000,5.00000000,1.25000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,1,0,69417,107777,124872,7.954000,2.50000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,1,1,65487,102011,118458,7.723000,2.68654974,4.08914807,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,1,2,28752,48783,46622,3.274000,3.23001931,3.28852975,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,1,3,18022,32295,26827,2.045000,4.10028309,2.72588502,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,1,4,2120,4171,2268,0.273000,5.00000000,2.50000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,2,0,18252,31576,27761,1.934000,3.75000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,2,1,16897,30052,25251,1.863000,3.84327487,4.54457403,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,2,2,16759,29869,25010,1.970000,4.11500966,4.14426487,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,2,3,9904,18705,12840,1.040000,4.55014155,3.86294251,5,0,5,0.0000000000,0
bcp_stats,NY,5,1,2,4,2120,4173,2266,0.222000,5.00000000,3.75000000,5,0,5,0.0000000000,0
