# boa_stats: type,map,start_q,n,boa_exp_sum,boa_gen_sum,boa_sol_sum,setup_time_sum
# bcp_stats: type,map,start_q,ord_i,zone_i,piv_i,exp_sum,gen_sum,prune_sum,time_sum,bbar1_sum,bbar2_sum,solved,timed_out,n,error_sum,error_n
boa_stats,BAY,0,5,1129411,1494121,764,442.1770
bcp_stats,BAY,5,0,1,1,28130,47910,36572,2.275000,2.84429028,4.10113980,5,0,5,0.0000000000,0
bcp_stats,BAY,5,0,1,2,36855,61228,49661,3.069000,3.44991152,3.44517984,5,0,5,0.0000000000,0
bcp_stats,BAY,5,0,1,3,85108,124858,127433,7.868000,4.12956218,2.85717666,5,0,5,0.0000000000,0
bcp_stats,BAY,5,0,1,4,86390,127881,132704,8.108000,5.00000000,2.50000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,0,2,0,3774,6656,4080,0.265000,3.75000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,0,2,1,18157,30615,23555,1.413000,3.92214514,4.55056990,5,0,5,0.0000000000,0
bcp_stats,BAY,5,0,2,2,27910,47747,36295,2.341000,4.22495576,4.22258992,5,0,5,0.0000000000,0
bcp_stats,BAY,5,0,2,3,28275,48069,36866,2.249000,4.56478109,3.92858833,5,0,5,0.0000000000,0
bcp_stats,BAY,5,0,2,4,33274,55352,43781,2.576000,5.00000000,3.75000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,0,3,0,3774,6659,4077,0.258000,5.00000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,0,0,199376,227852,370059,17.670000,1.25000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,0,1,223481,260836,408931,20.695000,1.76643543,3.65170970,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,0,2,201621,250796,351793,21.594000,2.67486729,2.66776977,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,0,3,101139,136229,162502,10.451000,3.69434326,1.78576498,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,0,4,3573,5331,4062,0.248000,5.00000000,1.25000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,1,0,196250,246694,337424,20.535000,2.50000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,1,1,191793,243893,324352,19.784000,2.84429028,4.10113980,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,1,2,131327,171505,218533,13.403000,3.44991152,3.44517984,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,1,3,45465,63727,67046,4.267000,4.12956218,2.85717666,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,1,4,3573,5331,4062,0.212000,5.00000000,2.50000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,2,0,69453,95831,105407,6.382000,3.75000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,2,1,69637,95266,106957,6.555000,3.92214514,4.55056990,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,2,2,42113,60348,61146,3.844000,4.22495576,4.22258992,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,2,3,20977,29500,27813,1.642000,4.56478109,3.92858833,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,2,4,3573,5331,4062,0.207000,5.00000000,3.75000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,1,3,0,3573,5331,4062,0.194000,5.00000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,2,0,0,3774,6602,4134,0.231000,1.25000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,2,0,1,36919,60921,49797,3.095000,1.76643543,3.65170970,5,0,5,0.0000000000,0
bcp_stats,BAY,5,2,0,2,193743,252070,330324,19.715000,2.67486729,2.66776977,5,0,5,0.0000000000,0
bcp_stats,BAY,5,2,0,3,101139,136229,162502,9.895000,3.69434326,1.78576498,5,0,5,0.0000000000,0
bcp_stats,BAY,5,2,0,4,3573,5331,4062,0.136000,5.00000000,1.25000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,2,1,0,3774,6649,4087,0.253000,2.50000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,5,2,1,1,28130,47910,36572,2.293000,2.84429028,4.10113980,5,0,5,0.0000000000,0
